"term_id","technical_key","japanese_name","display_name","category","definition","formula","numerator","denominator","grain","unit","timezone","source_of_truth","update_frequency","owner","consumers","access_level","status","aliases","exclusions","edge_cases","decision_required","effective_from","version"
"customer.cancelled_customer","cancelled_customer","キャンセル客","キャンセル客","customer","予約を取消した顧客/予約件数。売上客数には含めない候補。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","当日/事前、顧客数/予約数の単位","","1.0-draft"
"customer.no_show_customer","no_show_customer","無断キャンセル","無断キャンセル","customer","来店せず、承認済みno-show条件を満たす予約。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","ノーショー","","","連絡有無と期限","","1.0-draft"
"customer.referred_customer","referred_customer","紹介客","紹介客","customer","承認済み紹介sourceを持つ新規または既存顧客。","","","","visit|customer|daily|monthly|store","count","Asia/Tokyo","Unknown（POS/予約/顧客原本候補）","日次・月次close後","営業部","店舗営業管理","集計はstore scope。個票は高感度権限","Needs Business Decision","","","","紹介者・媒体・初回来店限定","","1.0-draft"
"kpi.budget","budget","予算","予算","kpi","対象期間・scope・versionを持つ計画値の総称。","","","","monthly|store|employee","JPY","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","正式versionと正本","","1.0-draft"
"kpi.initial_budget","initial_budget","当初予算","当初予算","kpi","対象年度・月の開始前に最初に承認された予算version。","","","","monthly|store|employee","JPY","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","最初の承認時点","","1.0-draft"
"kpi.revised_budget","revised_budget","修正予算","修正予算","kpi","当初予算の後に承認された新version。","","","","monthly|store|employee","JPY","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","改定権限・適用月・遡及","","1.0-draft"
"kpi.approved_budget","approved_budget","承認予算","承認予算","kpi","指定as-ofで有効な承認済み予算version。","","","","monthly|store|employee","JPY","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","承認workflowと複数version選択","","1.0-draft"
"kpi.budget_achievement_rate","budget_achievement_rate","予算達成率","予算達成率","kpi","実績値を承認予算で除した比率。","actual_sales / approved_budget * 100","actual_sales","approved_budget","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","予算比|目標達成率","","","actual_salesの正式定義","","1.0-draft"
"kpi.prior_year_sales","prior_year_sales","前年売上","前年売上","kpi","比較可能な前年同期間の承認済み売上。","","","","monthly|store|employee","JPY","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","閉店・移転・統合店舗の比較","","1.0-draft"
"kpi.year_over_year_rate","year_over_year_rate","前年比","前年比","kpi","当期値を比較可能な前年同期間値で除した比率。","current_period_value / prior_year_comparable_value * 100","current_period_value","prior_year_comparable_value","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","前年同月比","","","比較可能店と0分母","","1.0-draft"
"kpi.month_over_month_rate","month_over_month_rate","前月比","前月比","kpi","当月値を前月の比較可能値で除した比率。","current_month_value / previous_month_value * 100","current_month_value","previous_month_value","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","速報/確定混在と0分母","","1.0-draft"
"kpi.average_spend","average_spend","客単価","客単価","kpi","承認済み対象売上を承認済み総客数で除した値。","approved_sales / total_customer_count","approved_sales","total_customer_count","monthly|store|employee","JPY/customer","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","総単価","","","売上と客数の正式組合せ","","1.0-draft"
"kpi.technical_average_spend","technical_average_spend","技術単価","技術単価","kpi","技術売上を技術客数で除した値。","technical_sales / technical_customer_count","technical_sales","technical_customer_count","monthly|store|employee","JPY/customer","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","税込/純売上と技術客の重複排除","","1.0-draft"
"kpi.retail_average_spend","retail_average_spend","店販単価","店販単価","kpi","店販売上を承認済み分母で除した値。","retail_sales / denominator_to_be_approved","retail_sales","Needs Business Decision","monthly|store|employee","JPY/customer","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","総客数か店販購入客数か","","1.0-draft"
"kpi.retail_purchase_rate","retail_purchase_rate","店販購買率","店販購買率","kpi","店販購入客数を承認済み対象客数で除した比率。","retail_purchasing_customer_count / denominator_to_be_approved * 100","retail_purchasing_customer_count","Needs Business Decision","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","購買率","","","総客数/技術客数/来店数のどれを分母にするか","","1.0-draft"
"kpi.new_customer_count","new_customer_count","新規客数","新規客数","kpi","承認済み新規客定義に該当する顧客の重複排除数。","COUNT(DISTINCT customer_id meeting new_customer rule)","new_customer","","monthly|store|employee","customer","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","全社/店舗初回、lookback、顧客ID欠損","","1.0-draft"
"kpi.new_customer_rate","new_customer_rate","新規比率","新規比率","kpi","新規客数を承認済み対象客数で除した比率。","new_customer_count / denominator_to_be_approved * 100","new_customer_count","Needs Business Decision","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","新規客定義と分母","","1.0-draft"
"kpi.nomination_rate","nomination_rate","指名比率","指名比率","kpi","指名客数または指名売上を承認済み分母で除した比率。","nominated_metric / denominator_to_be_approved * 100","Needs Business Decision","Needs Business Decision","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","客数/売上、総数/技術数の組合せ","","1.0-draft"
"kpi.repeat_rate","repeat_rate","リピート率","リピート率","kpi","承認済みrepeat cohortの再来数を対象母数で除した比率。","repeat_customer_count / eligible_cohort_count * 100","repeat_customer_count","eligible_cohort_count","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","cohort、期間、固定客、顧客ID欠損","","1.0-draft"
"kpi.total_productivity","total_productivity","総生産性","総生産性","kpi","承認済み総売上系分子を承認済み人員系分母で除したKPI。","approved_total_sales / approved_workforce_denominator","Needs Business Decision","Needs Business Decision","monthly|store|employee","JPY/person","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","分子、在籍/稼働/FTE/時間の選択","","1.0-draft"
"kpi.technical_productivity","technical_productivity","技術生産性","技術生産性","kpi","技術売上を承認済み人員系分母で除したKPI。","technical_sales / approved_workforce_denominator","technical_sales","Needs Business Decision","monthly|store|employee","JPY/person","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","稼働人数/FTE/時間の選択","","1.0-draft"
"kpi.sales_per_labor_hour","sales_per_labor_hour","人時売上高","人時売上高","kpi","承認済み売上を承認済み総労働時間で除した値。","approved_sales / approved_labor_hours","approved_sales","approved_labor_hours","monthly|store|employee","JPY/hour","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","売上基準と所定/実/休憩時間","","1.0-draft"
"kpi.actual_labor_sales_per_hour","actual_labor_sales_per_hour","実労働売上高","実労働売上高","kpi","承認済み売上を確定実労働時間で除した値。","approved_sales / confirmed_actual_labor_hours","approved_sales","confirmed_actual_labor_hours","monthly|store|employee","JPY/hour","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","人時売上高との差と実労働時間source","","1.0-draft"
"kpi.utilization_rate","utilization_rate","稼働率","稼働率","kpi","承認済み実稼働量を承認済み利用可能量で除した比率。","actual_utilized_amount / available_amount * 100","Needs Business Decision","Needs Business Decision","monthly|store|employee","percent","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","人員・時間・予約枠のどれを測るか","","1.0-draft"
"kpi.headcount_productivity","headcount_productivity","稼働人員生産性","稼働人員生産性","kpi","承認済み売上を稼働人数で除した値。","approved_sales / working_headcount","approved_sales","working_headcount","monthly|store|employee","JPY/person","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","売上基準と稼働人数定義","","1.0-draft"
"kpi.fte_productivity","fte_productivity","FTE生産性","FTE生産性","kpi","純売上をFTEで除した値。","net_sales / fte","net_sales","fte","monthly|store|employee","JPY/FTE","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","FTE標準時間と純売上","","1.0-draft"
"kpi.store_ranking","store_ranking","店舗ランキング","店舗ランキング","kpi","同一period・metric version・scopeで店舗を順位付けした派生値。","","","","monthly|store|employee","rank","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","採用KPI、同順位、欠損、速報を含むか","","1.0-draft"
"kpi.staff_ranking","staff_ranking","スタッフランキング","スタッフランキング","kpi","同一period・metric version・eligible populationでemployeeを順位付けした派生値。","","","","monthly|store|employee","rank","Asia/Tokyo","承認済みsnapshot候補","月次close後","営業部 / 経営者","店舗営業管理|法人経営管理","role × corporation/store scope","Needs Business Decision","","","","職種・所属・応援・最低稼働条件","","1.0-draft"
"period.business_day","business_day","営業日","営業日","period","店舗timezoneと承認済み境界時刻で決まる業務日。","","","","period|store","date","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","深夜跨ぎ・店舗別境界・休業日","","1.0-draft"
"period.calendar_day","calendar_day","暦日","暦日","period","Asia/Tokyoの00:00から24:00までの日付。","","","","period|store","date","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Proposed","","","","","","1.0-draft"
"period.monthly_period","monthly_period","月次","月次","period","承認済み営業日規則でまとめたYYYY-MM期間。","","","","period|store","month","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","締め境界と遡及修正","","1.0-draft"
"period.current_month","current_month","当月","当月","period","指定as-ofが属する月次期間。","","","","period|store","month","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","as-ofとtimezone","","1.0-draft"
"period.previous_month","previous_month","前月","前月","period","当月の直前の月次期間。","","","","period|store","month","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","比較version","","1.0-draft"
"period.prior_year_same_month","prior_year_same_month","前年同月","前年同月","period","当月の12か月前に対応する比較可能な月次期間。","","","","period|store","month","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","店舗改廃時の比較","","1.0-draft"
"period.flash","flash","速報","速報","period","完全性・承認前であることを明示した早期集計。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Proposed","速報値","確定値扱い","","","","1.0-draft"
"period.preliminary","preliminary","暫定","暫定","period","source収集は進んでいるが検証または承認が未完了の状態。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","速報との差と利用可能画面","","1.0-draft"
"period.verified","verified","検証済み","検証済み","period","定義済みvalidationを通過したが、業務承認とは別の状態。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","validation checklistと実行者","","1.0-draft"
"period.approved","approved","承認済み","承認済み","period","権限を持つ業務ownerが特定versionを承認した状態。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","承認者・代理・取消","","1.0-draft"
"period.closed","closed","締め済み","締め済み","period","対象periodへの通常writeを停止した状態。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","daily/monthly closeと例外権限","","1.0-draft"
"period.reopened","reopened","再オープン","再オープン","period","承認を受けて締め済みperiodを訂正可能にした状態。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","実行権限、理由、再締め","","1.0-draft"
"period.retroactive_correction","retroactive_correction","遡及修正","遡及修正","period","過去periodの確定値を上書きせず新versionで訂正すること。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","会計連携と表示期間","","1.0-draft"
"period.snapshot","snapshot","スナップショット","スナップショット","period","指定as-of・定義version・source versionで固定した派生集計。","","","","period|store","period","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","snapshot","","","生成時点と再生成規則","","1.0-draft"
"period.version","version","バージョン","バージョン","period","定義・source・集計・承認の変更を識別するimmutable番号。","","","","period|store","identifier","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","","","","採番と互換性","","1.0-draft"
"period.effective_date","effective_date","適用日","適用日","period","定義またはmaster relationが業務上有効になる日。","","","","period|store","date","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Needs Business Decision","effective date","","","時刻精度と終了境界","","1.0-draft"
"period.as_of","as_of","基準時点","基準時点","period","状態・scope・versionを評価する明示的な日時。","","","","period|store","timestamp","Asia/Tokyo","店舗営業Business Contract候補","随時","営業部 / 経理","全IDEA NOV OSアプリ","業務scope","Proposed","","","","","","1.0-draft"
"data_governance.original_record","original_record","原本","原本","data_governance","変更前の一次資料またはsource system記録。正本採用とは別概念。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","原資料","","","","","1.0-draft"
"data_governance.sales_source_of_truth","sales_source_of_truth","正本","正本","data_governance","指定業務事実について競合時に優先する、owner承認済みの唯一のsource。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Unknown","source of truth","","","店舗売上の正式正本を選定","","1.0-draft"
"data_governance.source_system","source_system","ソースシステム","ソースシステム","data_governance","データを生成・管理する外部または内部system。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Unknown","source system","","","店舗売上source systemを特定","","1.0-draft"
"data_governance.source_file","source_file","ソースファイル","ソースファイル","data_governance","import batchの入力となるimmutable fileとそのmetadata。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Unknown","source file","","","公式export formatと保管範囲","","1.0-draft"
"data_governance.import_batch","import_batch","取込バッチ","取込バッチ","data_governance","同一source、受領時点、checksum、処理結果を束ねる取込単位。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","import batch","","","","","1.0-draft"
"data_governance.source_row","source_row","ソース行","ソース行","data_governance","source file内の位置と原値digestで追跡可能な最小入力行。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","source row","","","","","1.0-draft"
"data_governance.external_id","external_id","外部ID","外部ID","data_governance","source system内で対象を識別するID。Core IDとは分離する。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","external ID","","","","","1.0-draft"
"data_governance.core_id","core_id","Core ID","Core ID","data_governance","IDEA NOV OSのcanonical master recordを識別するimmutable ID。名称をIDとして使わない。","","","","data_object","UUID","Asia/Tokyo","Core Master","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Confirmed","","","","","","1.0-draft"
"data_governance.mapping","mapping","マッピング","マッピング","data_governance","external IDまたはsource valueをCore ID・canonical categoryへ対応付けるversion付き関係。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","mapping","","","","","1.0-draft"
"data_governance.mapping_pending","mapping_pending","マッピング保留","マッピング保留","data_governance","一意なmappingが確定しておらずcanonical集計へ反映できない状態。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","mapping pending","","","","","1.0-draft"
"data_governance.ambiguous","ambiguous","曖昧","曖昧","data_governance","複数候補があり自動で一意解決できない状態。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","ambiguous","","","","","1.0-draft"
"data_governance.quarantine","quarantine","隔離","隔離","data_governance","validationまたはmapping不合格のdataを本集計から分離した状態・領域。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","quarantine","","","","","1.0-draft"
"data_governance.validation_error","validation_error","検証エラー","検証エラー","data_governance","取込または契約を拒否する重大なvalidation違反。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","validation error","","","","","1.0-draft"
"data_governance.warning","warning","警告","警告","data_governance","処理継続は可能だが確認を要する非blocking事象。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","warning","","","","","1.0-draft"
"data_governance.duplicate","duplicate","重複","重複","data_governance","同一business keyまたはsource identityが複数回現れる状態。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","duplicate","","","","","1.0-draft"
"data_governance.checksum","checksum","チェックサム","チェックサム","data_governance","source bytesまたはcanonical payloadの同一性を検証するdigest。","","","","data_object","digest","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","checksum","","","","","1.0-draft"
"data_governance.audit","audit","監査記録","監査記録","data_governance","actor、action、resource、result、timestamp、correlationを追跡するimmutable記録。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","監査・system管理者に限定","Proposed","audit","","","","","1.0-draft"
"data_governance.correction_reason","correction_reason","修正理由","修正理由","data_governance","訂正を必要とした業務理由の承認済みcodeと補足。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","correction reason","","","","","1.0-draft"
"data_governance.approved_by","approved_by","承認者","承認者","data_governance","特定versionを承認したcanonical principal ID。表示名のみを保存しない。","","","","data_object","principal_id","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","approved by","","","","","1.0-draft"
"data_governance.data_owner","data_owner","データオーナー","データオーナー","data_governance","定義・品質・access・変更承認に最終責任を持つ業務role。","","","","data_object","record","Asia/Tokyo","Data Governance Contract","随時","Data owner / System owner","全IDEA NOV OSアプリ","操作別権限。auditは限定参照","Proposed","","","","","","1.0-draft"
